description,is_ambiguous,ambiguity_type,rationale
The Bidder will be responsible for provisioning of required IT infrastructure as IaaS & PaaS for hosting NRC Applications,False,0,
The proposed landscape for the deployment of NRC applications are Staging and Production,False,0,
The above environments are to be deployed on the Virtual Private Cloud/Government Community Cloud,False,0,
"The environment of Virtual Private Cloud/Government Community Cloud shall comply with the respective Provisional Empanelment Compliance Requirements published by Ministry of Electronics Information and Technology, Government of India",False,0,
"Each of the environments mentioned above should be logically isolated, i.e., separate from the production environment in a different VLAN than the production environment and setup such that users of the environments are in separate networks",False,0,
"The Bidder shall be responsible for provisioning required compute infrastructure (server/virtual machines), storage for hosting NRC applications",False,0,
"The bidder has to manage and maintain the VM’s including underlying Hardware, Operating systems, antivirus etc for the contract period",False,0,
"The indicative compute requirements for the IT infrastructure is placed at Annexure B, Form V Inbuilt AntiSpam/Malware/Antivirus threats control software.",True,3,Sentence fragments make the intended requirement unclear.
All the equipment’s/Devices in the path have to be in HA mode,True,4,"Undefined acronym ""HA"" obscures the requirement."
The Internet connectivity should be available to the applications as per the SLA requirements stated in Para,True,3,"""as per the SLA requirements stated in Para"" is incomplete."
Additional charges for Data Ingress or Egress will not be paid by NRC/ Department,False,0,
The database server storage has to be provided on high speed disks (SSD’s) for better performance,True,1,"""high speed"" and ""better performance"" are vague qualitative terms."
The bidder has to provide adequate load balancers for High Availability of the Web applications in DC,True,1,"""adequate"" is vague and not quantitatively defined."
"Manage the instances of storage, compute instances, and network environments",False,0,
This includes department-owned & installed operating systems and other system software that are outside of the authorization boundary of the CSP,False,0,
"Service Provider is also responsible for managing specific controls relating to shared touch points within the security authorization boundary, such as establishing customized security control solutions",False,0,
"Examples include, but are not limited to, configuration and patch management, vulnerability scanning, disaster recovery, and protecting data in transit and at rest, host firewall management, managing credentials, identity and access management, and managing network configurations",False,0,
"Provide support to technical team of NRC / Department or nominated agency for Optimization of resources in cloud environment for better performance and also provide physical and virtual access to the technical persons for the resolution of any issue pertaining to the operation, maintenance or rectification to keep the application running without any problem, as authenticated by NRC / Department",True,2,The long clause structure makes the scope of support and access unclear.
The bidder should provide 24*7 Helpdesk & Technical support services,False,0,
This will include system maintenance windows,False,0,
Bidder should provide a 24*7 operated contact number which will be used by NRC / Department or its authorized agency to raise any issues related to the services provided by the bidder,False,0,
CSP should provide training to NRC nominated minimum 3 officials/personnel on usage of the Console and any other technical aspect for monitoring of NRC project.,False,0,
ISO 27001 - Data Center and the cloud services should be certified for the latest version of the standards,False,0,
ISO/IEC 27017:2015-Code of practice for information security controls based on ISO/IEC 27002 for cloud services and Information technology,False,0,
ISO 20000-9-Guidance on the application of ISO/IEC 20000-1 to cloud services,False,0,
"PCI DSS - compliant technology infrastructure for storing, processing, and transmitting credit card information in the cloud – This standard is required if the transactions involve credit card payments",False,0,
"The CSP/Bidder shall comply or meet any security requirements applicable to CSPs/bidders published (or to be published) by Ministry of Electronics Information and Technology (MeitY), Government of India or any standards body setup / recognized by Government of India from time to time and notified to the CSP/Bidder by MeitY as a mandatory standard",False,0,
The CSP/Bidder shall meet all the security requirements indicated in the IT Act 2000 the terms and conditions of the Provisional Empanelment of the Cloud Service Providers and shall comply to the audit criteria defined by STQC,False,0,
The bidder shall submit the respective certificates issued by the authorized agency/persons.,True,5,It is unclear which certificates and which authorized issuers are meant.
CSP / Bidder to conduct vulnerability assessment scanning of the Portal/Website for every 1 hour till the website is LIVE for rendering services,True,1,“every 1 hour” and “till the website is LIVE” create unclear timing.
The CSP/Bidder shall ensure that all the storage blocks or multiple copies of data if any are unallocated or zeroed out by the CSPs so that data cannot be recovered,False,0,
"If due to some regulatory reasons if it is required to securely decommission data, Department can implement data encryption at rest using Departments managed keys, which are not stored in the cloud",False,0,
"Then Department may delete the key used to protect the decommissioned data, making it irrecoverable",False,0,
"The CSP/Bidder shall report forthwith in writing of information security breaches to the Department by unauthorized persons (including unauthorized persons who are employees of any Party) either to gain access to or interfere with the Project's Data, facilities or Confidential Information",False,0,
The CSP undertakes to treat information passed on to them under this Agreement as classified,False,0,
Such Information will not be communicated / published / advertised by the CSP to any person/organization without the express permission of the Department,False,0,
The Bidder shall execute non-disclosure agreements with the Department with respect to this Project,False,0,
"For the avoidance of doubt, it is expressly clarified that the aforesaid provisions shall not apply to the following information",False,0,
information already available in the public domain,False,0,
information which has been developed independently by the Service Provider,False,0,
information which has been received from a third party who had the right to disclose the aforesaid information,False,0,
